
刘艳,北京科技大学,自动化系,1999年8月至2004年6月 北京科技大学信息工程学院自动控制研究所 实习研究员。2004年7月至2011年1月 北京科技大学信息工程学院自动控制研究所 助理研究员。2011年2月 至今 北京科技大学自动化学院自动控制研究所 助理研究员。
穆志纯,北京科技大学,自动化系,1986年7月至1992年7月 北京科技大学自动化系 讲师。1992年7月至1998年7月 北京科技大学信息工程学院 副教授。1998年7月至今 北京科技大学自动化学院 教授。
马超,北京科技大学,自动化系,2007年7月-2008年7月 长沙矿山研究院 自动化所 助理工程师。
潘月斗,北京科技大学,自动化系,1989年07月至1994年09月，北京机床研究所数控工程中心， 担任数控电气工程师。广州数控设备有限公司 工程中心常务副主任。电机及驱动技术研究室主任。2006年04月至今，北京科技大学，副教授。广州市荔湾区政协委员。
彭开香,北京科技大学,自动化系,中国人工智能学会智能产品与产业工作委员委员。1995年8月－2000年6月，北京科技大学科研处，实习研究员。2005年7月－2010年12月，北京科技大学信息工程学院自动控制研究所，副教授。2011年1月－2013年8月，北京科技大学自动化学院自动控制研究所，副教授。
乔红,北京科技大学,自动化系,1997年至2002 香港城市大学，研究助教授。2002年至2004 英国Manchester大学, 讲师，博导。任类脑智能计算研究中心副主任。2014年1月至今 北京科技大学自动化学院智能机器人中心主任（兼职）。
任向实,北京科技大学,自动化系,1996年-1999年，东京电机大学信息与通信工程系，助教。
宋睿卓,北京科技大学,自动化系,2014年7月至今 北京科技大学自动化学院 仪器科学与技术系 副教授。2012年4月至2014年7月 北京科技大学自动化学院 仪器科学与技术系 讲师。
孙长银,北京科技大学,自动化系,社会职务：中国自动化学会常务理事、副秘书长。北京市工业波谱成像技术工程研究中心主任。2009年12月起任东南大学自动化学院副院长，。2012年3月起任北京科技大学自动化学院院长。
石中锁,北京科技大学,自动化系,1992年03月至1993年10月 北京科技大学 助教。1993年11月至1995年07月 北京科技大学 讲师。1995年08月至2001年07月 北京科技大学 副教授。2001年08月至今 北京科技大学 教授。
孙昌国,北京科技大学,自动化系,1988年7月-1990年6月北京科技大学机器人研究所助理研究员。1995年7月-2002年1月北京科技大学机器人研究所副研究员。本人仍为北京科技大学在编教职工）研发部经理。2003年10月-2006年7月北京科技大学自动化系副研究员。2006年8月-2011年5月北京科技大学自动化系副教授。2011年6月至今北京科技大学控制科学与工程系副教授。
孙铁,北京科技大学,自动化系,1969年3月-1975年9月 首都钢铁公司 工人。1978年8月-1986年6月 北京钢铁学院自动化系 助教。1986年7月-1993年11月 北京科技大学自动化系 讲师。1993年12月-2000年12月 北京科技大学信息工程学院 副教授。2001年1月至今 北京科技大学自动化学院 教授。
邵立珍,北京科技大学,自动化系,2012年07月 至今 北京科技大学自动化学院 副教授。2009年11月 至 2012年06月 北京科技大学自动化学院 讲师。2008年02月 至 2009年02月 新西兰奥克兰大学工程科学系 研究员。
史雪飞,北京科技大学,自动化系,1994年8月-2000年7月 北京科技大学自动化仪表教研室 助教。2000年7月-2005年6月 北京科技大学信息工程学院测控系 讲师。2011年3月至今 北京科技大学自动化学院电工电子技术系讲师。
孙乐殿,北京科技大学,自动化系,1989年9月-1996年12月， 北京科技大学，压力加工系第二教研室，讲师。1996年12月-2011年12月， 北京科技大学，信息工程学院，高级工程师。2011年12月-现在， 北京科技大学，自动化学院自控所，副研究员。
童朝南,北京科技大学,自动化系,1976年12月-1986年9月，北京钢铁学院自动化系，助教。1986年7月-1992年9月，北京科技大学自动化系，讲师。1992年10月-1997年6月，北京科技大学自动化系，副教授。1997年7月至今，北京科技大学自动控制研究所，教授。
吴华怡,北京科技大学,自动化系,2002年08月至2003年10月 湖北星海智能网络工程有限公司 部门经理/工程师。2003年12月至2004年09月 香港城市大学电脑科学系 助理研究员。2009年07月至今 北京科技大学自动化学院控制科学与工程系 讲师。
王丽君,北京科技大学,自动化系,社会职务：2012.1.1至今，北京自动化学会第八届理事会理事。1993年7月 至 1998年2月，华北电力大学，电力科学技术研究所，助理工程师。1998年3月至1998年12月，华北电力大学，电力科学技术研究所，工程师。1998年12月至 2003年9月，华北电力大学，动力工程系仪表实验室，工程师。2007年4月至 2011年1月，北京科技大学，自动化系，讲师。2011年2月至2013年8月，北京科技大学，控制科学与工程系，讲师。2013年9月至今，北京科技大学，控制科学与工程系，副教授。
王莉,北京科技大学,自动化系,现工作于北京科技大学自动化学院控制科学与工程系。
王玲,北京科技大学,自动化系,2007年4月至今 北京科技大学自动化学院 控制科学与工程系任教。
王粉花,北京科技大学,自动化系,社会职务：中国人工智能学会教育工作委员会副秘书长。2011年至今 北京科技大学 自动化学院 副教授。1998年至 2010年 北京科技大学 信息工程学院 讲师、副教授。1996年至1997年 北京科技大学 信息工程学院 助教。
